Unnamed:_0,Rank,NOC,Gold,Silver,Bronze,Total,Year,Host,Number_of_people,Basketball,Judo,Football,Tug-Of-War,Athletics,Swimming,Badminton,Sailing,Gymnastics,Art_Competitions,Handball,Weightlifting,Wrestling,Water_Polo,Hockey,Rowing,Fencing,Equestrianism,Shooting,Boxing,Taekwondo,Cycling,Diving,Canoeing,Tennis,Modern_Pentathlon,Golf,Softball,Archery,Volleyball,Synchronized_Swimming,Table_Tennis,Baseball,Rhythmic_Gymnastics,Rugby_Sevens,Trampolining,Beach_Volleyball,Triathlon,Rugby,Lacrosse,Polo,Cricket,Ice_Hockey,Racquets,Motorboating,Croquet,Figure_Skating,Jeu_De_Paume,Roque,Basque_Pelota,Alpinism,Aeronautics,Cycling_Road,Artistic_Gymnastics,Karate,Baseball/Softball,Trampoline_Gymnastics,Marathon_Swimming,Canoe_Slalom,Surfing,Canoe_Sprint,Cycling_BMX_Racing,Equestrian,Artistic_Swimming,Cycling_Track,Skateboarding,Cycling_Mountain_Bike,3x3_Basketball,Cycling_BMX_Freestyle,Sport_Climbing,"Marathon_Swimming,_Swimming",Breaking,"Cycling_Road,_Cycling_Track","Cycling_Road,_Cycling_Mountain_Bike","Cycling_Road,_Triathlon","3x3_Basketball,_Basketball"
299,37,Uruguay,0,0,2,2,1952,0,32,1,0,1,0,33,11,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,40,Bulgaria,0,0,1,1,1952,0,63,1,0,1,0,33,11,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,40,Egypt,0,0,1,1,1952,0,106,1,0,1,0,33,11,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,40,Portugal,0,0,1,1,1952,0,63,1,0,1,0,33,11,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,40,Venezuela,0,0,1,1,1952,0,38,1,0,1,0,33,11,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,1,Soviet_Union,37,29,32,98,1956,0,271,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,2,United_States,32,25,17,74,1956,0,289,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,3,Australia,13,8,14,35,1956,1,288,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,4,Hungary,9,10,7,26,1956,0,111,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,5,Italy,8,8,9,25,1956,0,124,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,6,Sweden,8,5,6,19,1956,0,91,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,7,United_Team_of_Germany,6,13,7,26,1956,0,91,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,8,Great_Britain,6,7,11,24,1956,0,186,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,9,Romania,5,3,5,13,1956,0,50,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
313,10,Japan,4,10,5,19,1956,0,112,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,11,France,4,4,6,14,1956,0,138,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,12,Turkey,3,2,2,7,1956,0,19,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,13,Finland,3,1,11,15,1956,0,68,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,14,Iran,2,2,1,5,1956,0,17,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,15,Canada,2,1,3,6,1956,0,89,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,16,New_Zealand,2,0,0,2,1956,0,46,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,17,Poland,1,4,4,9,1956,0,64,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,18,Czechoslovakia,1,4,1,6,1956,0,63,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,19,Bulgaria,1,3,1,5,1956,0,46,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,20,Denmark,1,2,1,4,1956,0,34,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,21,Ireland,1,1,3,5,1956,0,18,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,22,Norway,1,0,2,3,1956,0,16,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,23,Mexico,1,0,1,2,1956,0,24,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,24,Brazil,1,0,0,1,1956,0,45,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,24,India,1,0,0,1,1956,0,58,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,26,Yugoslavia,0,3,0,3,1956,0,35,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,27,Chile,0,2,2,4,1956,0,33,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,28,Belgium,0,2,0,2,1956,0,57,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,29,Argentina,0,1,1,2,1956,0,30,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,29,South_Korea,0,1,1,2,1956,0,35,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,31,Iceland,0,1,0,1,1956,0,2,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,31,Pakistan,0,1,0,1,1956,0,53,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,33,South_Africa,0,0,4,4,1956,0,45,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,34,Austria,0,0,2,2,1956,0,34,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,35,Bahamas,0,0,1,1,1956,0,2,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,35,Greece,0,0,1,1,1956,0,11,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,35,Switzerland,0,0,1,1,1956,0,9,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,35,Uruguay,0,0,1,1,1956,0,21,1,0,1,0,33,13,0,5,15,0,0,7,16,1,1,7,7,6,7,10,0,6,4,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,1,Soviet_Union,43,29,31,103,1960,0,273,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,2,United_States,34,21,16,71,1960,0,279,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,3,Italy,13,10,13,36,1960,1,270,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,4,United_Team_of_Germany,12,19,11,42,1960,0,270,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,5,Australia,8,8,6,22,1960,0,179,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,6,Turkey,7,2,0,9,1960,0,49,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,7,Hungary,6,8,7,21,1960,0,179,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,8,Japan,4,7,7,18,1960,0,156,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,9,Poland,4,6,11,21,1960,0,185,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,10,Czechoslovakia,3,2,3,8,1960,0,116,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,11,Romania,3,1,6,10,1960,0,98,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,12,Great_Britain,2,6,12,20,1960,0,243,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,13,Denmark,2,3,1,6,1960,0,91,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,14,New_Zealand,2,0,1,3,1960,0,35,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,15,Bulgaria,1,3,3,7,1960,0,97,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,16,Sweden,1,2,3,6,1960,0,123,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,17,Finland,1,1,3,5,1960,0,109,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,18,Austria,1,1,0,2,1960,0,96,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,18,Yugoslavia,1,1,0,2,1960,0,114,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,20,Pakistan,1,0,1,2,1960,0,43,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,21,Ethiopia,1,0,0,1,1960,0,10,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,21,Greece,1,0,0,1,1960,0,41,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,21,Norway,1,0,0,1,1960,0,32,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,24,Switzerland,0,3,3,6,1960,0,139,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366,25,France,0,2,3,5,1960,0,228,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,26,Belgium,0,2,2,4,1960,0,98,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
368,27,Iran,0,1,3,4,1960,0,23,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,28,Netherlands,0,1,2,3,1960,0,104,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,28,South_Africa,0,1,2,3,1960,0,53,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371,30,Argentina,0,1,1,2,1960,0,84,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,30,Egypt,0,1,1,2,1960,0,84,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,32,Canada,0,1,0,1,1960,0,75,1,0,1,0,34,15,0,5,14,0,0,7,16,1,1,7,8,5,6,10,0,6,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
