Year,sport,event,host,country,gold,silver,bronze,medal,Total
1952,Athletics,Athletics_Men's_800_metres,0,GER,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_4_x_100_metres_Relay,0,GBR,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_100_metres,0,GBR,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_Long_Jump,0,GBR,0,0,1,Bronze,1
1952,Athletics,"Athletics_Men's_3,000_metres_Steeplechase",0,GBR,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_4_x_100_metres_Relay,0,HUN,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_Long_Jump,0,HUN,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_Hammer_Throw,0,HUN,1,0,1,Bronze,2
1952,Athletics,Athletics_Men's_50_kilometres_Walk,0,HUN,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_400_metres_Hurdles,0,NZL,0,0,1,Bronze,1
1952,Athletics,"Athletics_Men's_10,000_metres",0,URS,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_High_Jump,0,URS,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_Discus_Throw,0,URS,1,1,1,Bronze,3
1952,Athletics,Athletics_Women's_Javelin_Throw,0,URS,0,1,1,Bronze,2
1952,Athletics,Athletics_Men's_10_kilometres_Walk,0,URS,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_200_metres,0,URS,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_Shot_Put,0,URS,1,0,1,Bronze,2
1952,Athletics,Athletics_Men's_Marathon,0,SWE,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_Pole_Vault,0,SWE,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,1,1,Bronze,3
1952,Athletics,Athletics_Men's_Discus_Throw,0,USA,1,0,1,Bronze,2
1952,Athletics,Athletics_Men's_Shot_Put,0,USA,1,1,1,Bronze,3
1952,Athletics,Athletics_Men's_200_metres,0,USA,1,1,1,Bronze,3
1952,Athletics,Athletics_Men's_400_metres,0,USA,0,0,1,Bronze,1
1952,Athletics,Athletics_Men's_Decathlon,0,USA,1,1,1,Bronze,3
1952,Athletics,Athletics_Men's_Triple_Jump,0,VEN,0,0,1,Bronze,1
1952,Athletics,Athletics_Women's_100_metres,0,AUS,1,0,1,Gold,2
1952,Athletics,Athletics_Women's_200_metres,0,AUS,1,0,0,Gold,1
1952,Athletics,Athletics_Women's_80_metres_Hurdles,0,AUS,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Triple_Jump,0,BRA,1,0,0,Gold,1
1952,Athletics,Athletics_Women's_Javelin_Throw,0,TCH,1,0,0,Gold,1
1952,Athletics,"Athletics_Men's_5,000_metres",0,TCH,1,0,0,Gold,1
1952,Athletics,"Athletics_Men's_10,000_metres",0,TCH,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Marathon,0,TCH,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Hammer_Throw,0,HUN,1,0,1,Gold,2
1952,Athletics,Athletics_Men's_50_kilometres_Walk,0,ITA,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_4_x_400_metres_Relay,0,JAM,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_400_metres,0,JAM,1,1,0,Gold,2
1952,Athletics,"Athletics_Men's_1,500_metres",0,LUX,1,0,0,Gold,1
1952,Athletics,Athletics_Women's_Long_Jump,0,NZL,1,0,0,Gold,1
1952,Athletics,Athletics_Women's_High_Jump,0,RSA,1,0,0,Gold,1
1952,Athletics,Athletics_Women's_Discus_Throw,0,URS,1,1,1,Gold,3
1952,Athletics,Athletics_Women's_Shot_Put,0,URS,1,0,1,Gold,2
1952,Athletics,Athletics_Men's_10_kilometres_Walk,0,SWE,1,0,0,Gold,1
1952,Athletics,"Athletics_Men's_3,000_metres_Steeplechase",0,USA,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,0,Gold,2
1952,Athletics,Athletics_Men's_High_Jump,0,USA,1,1,0,Gold,2
1952,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,1,1,Gold,3
1952,Athletics,Athletics_Men's_4_x_100_metres_Relay,0,USA,1,0,0,Gold,1
1952,Athletics,Athletics_Women's_4_x_100_metres_Relay,0,USA,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Discus_Throw,0,USA,1,0,1,Gold,2
1952,Athletics,Athletics_Men's_Decathlon,0,USA,1,1,1,Gold,3
1952,Athletics,Athletics_Men's_400_metres_Hurdles,0,USA,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Shot_Put,0,USA,1,1,1,Gold,3
1952,Athletics,Athletics_Men's_100_metres,0,USA,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Pole_Vault,0,USA,1,1,0,Gold,2
1952,Athletics,Athletics_Men's_200_metres,0,USA,1,1,1,Gold,3
1952,Athletics,Athletics_Men's_800_metres,0,USA,1,0,0,Gold,1
1952,Athletics,Athletics_Men's_Javelin_Throw,0,USA,1,1,0,Gold,2
1952,Athletics,Athletics_Men's_Marathon,0,ARG,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_50_kilometres_Walk,0,TCH,0,1,0,Silver,1
1952,Athletics,"Athletics_Men's_5,000_metres",0,FRA,0,1,0,Silver,1
1952,Athletics,"Athletics_Men's_10,000_metres",0,FRA,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_4_x_100_metres_Relay,0,GER,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_Hammer_Throw,0,GER,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_Shot_Put,0,GER,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_High_Jump,0,GBR,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_Discus_Throw,0,ITA,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_100_metres,0,JAM,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_400_metres,0,JAM,1,1,0,Silver,2
1952,Athletics,Athletics_Men's_800_metres,0,JAM,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_200_metres,0,NED,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_100_metres,0,RSA,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_Discus_Throw,0,URS,1,1,1,Silver,3
1952,Athletics,Athletics_Women's_Long_Jump,0,URS,0,1,0,Silver,1
1952,Athletics,Athletics_Women's_Javelin_Throw,0,URS,0,1,1,Silver,2
1952,Athletics,Athletics_Women's_80_metres_Hurdles,0,URS,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_4_x_100_metres_Relay,0,URS,0,1,0,Silver,1
1952,Athletics,"Athletics_Men's_3,000_metres_Steeplechase",0,URS,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_400_metres_Hurdles,0,URS,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_Triple_Jump,0,URS,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_10_kilometres_Walk,0,SUI,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_200_metres,0,USA,1,1,1,Silver,3
1952,Athletics,Athletics_Men's_Decathlon,0,USA,1,1,1,Silver,3
1952,Athletics,Athletics_Men's_4_x_400_metres_Relay,0,USA,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_110_metres_Hurdles,0,USA,1,1,1,Silver,3
1952,Athletics,Athletics_Men's_Long_Jump,0,USA,1,1,0,Silver,2
1952,Athletics,Athletics_Men's_Shot_Put,0,USA,1,1,1,Silver,3
1952,Athletics,Athletics_Men's_Pole_Vault,0,USA,1,1,0,Silver,2
1952,Athletics,"Athletics_Men's_1,500_metres",0,USA,0,1,0,Silver,1
1952,Athletics,Athletics_Men's_Javelin_Throw,0,USA,1,1,0,Silver,2
1952,Athletics,Athletics_Men's_High_Jump,0,USA,1,1,0,Silver,2
1952,Basketball,Basketball_Men's_Basketball,0,URU,0,0,1,Bronze,1
1952,Basketball,Basketball_Men's_Basketball,0,USA,1,0,0,Gold,1
1952,Basketball,Basketball_Men's_Basketball,0,URS,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Light_Middleweight,0,ARG,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Middleweight,0,BUL,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Welterweight,0,DEN,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Heavyweight,1,FIN,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Light_Welterweight,1,FIN,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Lightweight,1,FIN,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Light_Heavyweight,1,FIN,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Featherweight,0,FRA,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Welterweight,0,GER,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Light_Welterweight,0,ITA,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Lightweight,0,ROU,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Featherweight,0,RSA,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Heavyweight,0,RSA,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Flyweight,0,RSA,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Bantamweight,0,KOR,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Flyweight,0,URS,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Bantamweight,0,URS,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Light_Heavyweight,0,URS,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Light_Middleweight,0,URS,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Middleweight,0,SWE,0,0,1,Bronze,1
1952,Boxing,Boxing_Men's_Featherweight,0,TCH,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Bantamweight,1,FIN,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Light_Middleweight,0,HUN,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Lightweight,0,ITA,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Welterweight,0,POL,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Light_Welterweight,0,USA,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Flyweight,0,USA,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Light_Heavyweight,0,USA,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Middleweight,0,USA,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Heavyweight,0,USA,1,0,0,Gold,1
1952,Boxing,Boxing_Men's_Light_Heavyweight,0,ARG,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Flyweight,0,GER,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Bantamweight,0,IRL,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Featherweight,0,ITA,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Lightweight,0,POL,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Middleweight,0,ROU,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Light_Middleweight,0,RSA,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Light_Welterweight,0,URS,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Welterweight,0,URS,0,1,0,Silver,1
1952,Boxing,Boxing_Men's_Heavyweight,0,SWE,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Kayak_Doubles,_1,000_metres",0,AUT,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Canadian_Singles,_10,000_metres",0,TCH,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Canadian_Singles,_1,000_metres",1,FIN,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Kayak_Singles,_1,000_metres",0,FRA,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Canadian_Doubles,_1,000_metres",0,GER,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Canadian_Doubles,_10,000_metres",0,GER,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Kayak_Singles,_10,000_metres",0,GER,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Kayak_Doubles,_10,000_metres",0,HUN,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Women's_Kayak_Singles,_500_metres",0,URS,0,0,1,Bronze,1
1952,Canoeing,"Canoeing_Men's_Canadian_Singles,_1,000_metres",0,TCH,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Canadian_Doubles,_1,000_metres",0,DEN,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Kayak_Doubles,_1,000_metres",1,FIN,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Kayak_Doubles,_10,000_metres",1,FIN,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Women's_Kayak_Singles,_500_metres",1,FIN,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Kayak_Singles,_10,000_metres",1,FIN,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Canadian_Doubles,_10,000_metres",0,FRA,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Kayak_Singles,_1,000_metres",0,SWE,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Men's_Canadian_Singles,_10,000_metres",0,USA,1,0,0,Gold,1
1952,Canoeing,"Canoeing_Women's_Kayak_Singles,_500_metres",0,AUT,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Canadian_Doubles,_10,000_metres",0,CAN,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Canadian_Doubles,_1,000_metres",0,TCH,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Kayak_Singles,_1,000_metres",1,FIN,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Canadian_Singles,_10,000_metres",0,HUN,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Canadian_Singles,_1,000_metres",0,HUN,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Kayak_Doubles,_10,000_metres",0,SWE,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Kayak_Singles,_10,000_metres",0,SWE,0,1,0,Silver,1
1952,Canoeing,"Canoeing_Men's_Kayak_Doubles,_1,000_metres",0,SWE,0,1,0,Silver,1
1952,Cycling,"Cycling_Men's_Road_Race,_Team",0,FRA,0,0,1,Bronze,1
1952,Cycling,Cycling_Men's_Sprint,0,GER,0,0,1,Bronze,1
1952,Cycling,"Cycling_Men's_Road_Race,_Individual",0,GER,0,0,1,Bronze,1
1952,Cycling,"Cycling_Men's_Team_Pursuit,_4,000_metres",0,GBR,0,0,1,Bronze,1
1952,Cycling,"Cycling_Men's_Tandem_Sprint,_2,000_metres",0,ITA,0,0,1,Bronze,1
1952,Cycling,"Cycling_Men's_1,000_metres_Time_Trial",0,RSA,0,0,1,Bronze,1
1952,Cycling,"Cycling_Men's_Tandem_Sprint,_2,000_metres",0,AUS,1,0,0,Gold,1
1952,Cycling,"Cycling_Men's_1,000_metres_Time_Trial",0,AUS,1,0,0,Gold,1
1952,Cycling,"Cycling_Men's_Road_Race,_Team",0,BEL,1,0,0,Gold,1
1952,Cycling,"Cycling_Men's_Road_Race,_Individual",0,BEL,1,1,0,Gold,2
1952,Cycling,"Cycling_Men's_Team_Pursuit,_4,000_metres",0,ITA,1,0,0,Gold,1
1952,Cycling,Cycling_Men's_Sprint,0,ITA,1,0,0,Gold,1
1952,Cycling,Cycling_Men's_Sprint,0,AUS,0,1,0,Silver,1
1952,Cycling,"Cycling_Men's_Road_Race,_Individual",0,BEL,1,1,0,Silver,2
1952,Cycling,"Cycling_Men's_Road_Race,_Team",0,ITA,0,1,0,Silver,1
1952,Cycling,"Cycling_Men's_1,000_metres_Time_Trial",0,ITA,0,1,0,Silver,1
1952,Cycling,"Cycling_Men's_Team_Pursuit,_4,000_metres",0,RSA,0,1,0,Silver,1
1952,Cycling,"Cycling_Men's_Tandem_Sprint,_2,000_metres",0,RSA,0,1,0,Silver,1
1952,Diving,Diving_Men's_Platform,0,GER,0,0,1,Bronze,1
1952,Diving,Diving_Men's_Springboard,0,USA,1,1,1,Bronze,3
1952,Diving,Diving_Women's_Springboard,0,USA,1,0,1,Bronze,2
1952,Diving,Diving_Women's_Platform,0,USA,1,1,1,Bronze,3
1952,Diving,Diving_Men's_Springboard,0,USA,1,1,1,Gold,3
1952,Diving,Diving_Men's_Platform,0,USA,1,0,0,Gold,1
1952,Diving,Diving_Women's_Springboard,0,USA,1,0,1,Gold,2
1952,Diving,Diving_Women's_Platform,0,USA,1,1,1,Gold,3
1952,Diving,Diving_Women's_Springboard,0,FRA,0,1,0,Silver,1
1952,Diving,Diving_Men's_Platform,0,MEX,0,1,0,Silver,1
1952,Diving,Diving_Men's_Springboard,0,USA,1,1,1,Silver,3
1952,Diving,Diving_Women's_Platform,0,USA,1,1,1,Silver,3
1952,Equestrianism,"Equestrianism_Mixed_Dressage,_Individual",0,FRA,0,0,1,Bronze,1
1952,Equestrianism,"Equestrianism_Men's_Three_Day_Event,_Individual",0,GER,0,0,1,Bronze,1
1952,Equestrianism,"Equestrianism_Mixed_Dressage,_Team",0,GER,0,0,1,Bronze,1
1952,Equestrianism,"Equestrianism_Men's_Jumping,_Individual",0,GER,0,0,1,Bronze,1
1952,Equestrianism,"Equestrianism_Men's_Three_Day_Event,_Team",0,USA,0,0,1,Bronze,1
1952,Equestrianism,"Equestrianism_Men's_Jumping,_Team",0,USA,0,0,1,Bronze,1
1952,Equestrianism,"Equestrianism_Men's_Jumping,_Individual",0,FRA,1,0,0,Gold,1
1952,Equestrianism,"Equestrianism_Men's_Jumping,_Team",0,GBR,1,0,0,Gold,1
1952,Equestrianism,"Equestrianism_Mixed_Dressage,_Team",0,SWE,1,0,0,Gold,1
1952,Equestrianism,"Equestrianism_Men's_Three_Day_Event,_Team",0,SWE,1,0,0,Gold,1
1952,Equestrianism,"Equestrianism_Mixed_Dressage,_Individual",0,SWE,1,0,0,Gold,1
1952,Equestrianism,"Equestrianism_Men's_Three_Day_Event,_Individual",0,SWE,1,0,0,Gold,1
1952,Equestrianism,"Equestrianism_Men's_Jumping,_Individual",0,CHI,0,1,0,Silver,1
1952,Equestrianism,"Equestrianism_Men's_Jumping,_Team",0,CHI,0,1,0,Silver,1
1952,Equestrianism,"Equestrianism_Mixed_Dressage,_Individual",0,DEN,0,1,0,Silver,1
1952,Equestrianism,"Equestrianism_Men's_Three_Day_Event,_Individual",0,FRA,0,1,0,Silver,1
1952,Equestrianism,"Equestrianism_Men's_Three_Day_Event,_Team",0,GER,0,1,0,Silver,1
1952,Equestrianism,"Equestrianism_Mixed_Dressage,_Team",0,SUI,0,1,0,Silver,1
1952,Fencing,"Fencing_Women's_Foil,_Individual",0,DEN,0,0,1,Bronze,1
1952,Fencing,"Fencing_Men's_Sabre,_Team",0,FRA,0,0,1,Bronze,1
1952,Fencing,"Fencing_Men's_Foil,_Team",0,HUN,0,0,1,Bronze,1
1952,Fencing,"Fencing_Men's_Sabre,_Individual",0,HUN,1,1,1,Bronze,3
1952,Fencing,"Fencing_Men's_Foil,_Individual",0,ITA,0,1,1,Bronze,2
1952,Fencing,"Fencing_Men's_epee,_Team",0,SUI,0,0,1,Bronze,1
1952,Fencing,"Fencing_Men's_epee,_Individual",0,SUI,0,0,1,Bronze,1
1952,Fencing,"Fencing_Men's_Foil,_Team",0,FRA,1,0,0,Gold,1
1952,Fencing,"Fencing_Men's_Foil,_Individual",0,FRA,1,0,0,Gold,1
1952,Fencing,"Fencing_Men's_Sabre,_Team",0,HUN,1,0,0,Gold,1
1952,Fencing,"Fencing_Men's_Sabre,_Individual",0,HUN,1,1,1,Gold,3
1952,Fencing,"Fencing_Men's_epee,_Team",0,ITA,1,0,0,Gold,1
1952,Fencing,"Fencing_Women's_Foil,_Individual",0,ITA,1,0,0,Gold,1
1952,Fencing,"Fencing_Men's_epee,_Individual",0,ITA,1,1,0,Gold,2
1952,Fencing,"Fencing_Women's_Foil,_Individual",0,HUN,0,1,0,Silver,1
1952,Fencing,"Fencing_Men's_Sabre,_Individual",0,HUN,1,1,1,Silver,3
1952,Fencing,"Fencing_Men's_Foil,_Team",0,ITA,0,1,0,Silver,1
1952,Fencing,"Fencing_Men's_Sabre,_Team",0,ITA,0,1,0,Silver,1
1952,Fencing,"Fencing_Men's_epee,_Individual",0,ITA,1,1,0,Silver,2
1952,Fencing,"Fencing_Men's_Foil,_Individual",0,ITA,0,1,1,Silver,2
1952,Fencing,"Fencing_Men's_epee,_Team",0,SWE,0,1,0,Silver,1
1952,Football,Football_Men's_Football,0,SWE,0,0,1,Bronze,1
1952,Football,Football_Men's_Football,0,HUN,1,0,0,Gold,1
1952,Football,Football_Men's_Football,0,YUG,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Women's_Team_All_Around,0,TCH,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Men's_Team_All_Around,1,FIN,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Women's_Team_Portable_Apparatus,0,HUN,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Women's_Uneven_Bars,0,HUN,1,0,1,Bronze,2
1952,Gymnastics,Gymnastics_Women's_Individual_All_Around,0,HUN,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Women's_Floor_Exercise,0,HUN,1,0,1,Bronze,2
1952,Gymnastics,Gymnastics_Women's_Balance_Beam,0,HUN,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Men's_Horse_Vault,0,JPN,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Men's_Rings,0,URS,1,1,1,Bronze,3
1952,Gymnastics,Gymnastics_Women's_Horse_Vault,0,URS,1,1,1,Bronze,3
1952,Gymnastics,Gymnastics_Men's_Rings,0,SUI,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Men's_Individual_All_Around,0,SUI,0,0,1,Bronze,1
1952,Gymnastics,Gymnastics_Men's_Parallel_Bars,0,SUI,1,0,1,Bronze,2
1952,Gymnastics,Gymnastics_Women's_Floor_Exercise,0,HUN,1,0,1,Gold,2
1952,Gymnastics,Gymnastics_Women's_Uneven_Bars,0,HUN,1,0,1,Gold,2
1952,Gymnastics,Gymnastics_Men's_Team_All_Around,0,URS,1,0,0,Gold,1
1952,Gymnastics,Gymnastics_Women's_Team_All_Around,0,URS,1,0,0,Gold,1
1952,Gymnastics,Gymnastics_Women's_Balance_Beam,0,URS,1,1,0,Gold,2
1952,Gymnastics,Gymnastics_Men's_Individual_All_Around,0,URS,1,1,0,Gold,2
1952,Gymnastics,Gymnastics_Men's_Horse_Vault,0,URS,1,0,0,Gold,1
1952,Gymnastics,Gymnastics_Men's_Pommelled_Horse,0,URS,1,0,0,Gold,1
1952,Gymnastics,Gymnastics_Women's_Individual_All_Around,0,URS,1,1,0,Gold,2
1952,Gymnastics,Gymnastics_Women's_Horse_Vault,0,URS,1,1,1,Gold,3
1952,Gymnastics,Gymnastics_Men's_Rings,0,URS,1,1,1,Gold,3
1952,Gymnastics,Gymnastics_Women's_Team_Portable_Apparatus,0,SWE,1,0,0,Gold,1
1952,Gymnastics,Gymnastics_Men's_Floor_Exercise,0,SWE,1,0,0,Gold,1
1952,Gymnastics,Gymnastics_Men's_Parallel_Bars,0,SUI,1,0,1,Gold,2
1952,Gymnastics,Gymnastics_Men's_Horizontal_Bar,0,SUI,1,1,0,Gold,2
1952,Gymnastics,Gymnastics_Men's_Horizontal_Bar,0,GER,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Women's_Team_All_Around,0,HUN,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Horse_Vault,0,JPN,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Floor_Exercise,0,JPN,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Floor_Exercise,0,POL,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Women's_Individual_All_Around,0,URS,1,1,0,Silver,2
1952,Gymnastics,Gymnastics_Women's_Team_Portable_Apparatus,0,URS,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Parallel_Bars,0,URS,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Rings,0,URS,1,1,1,Silver,3
1952,Gymnastics,Gymnastics_Women's_Floor_Exercise,0,URS,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Women's_Horse_Vault,0,URS,1,1,1,Silver,3
1952,Gymnastics,Gymnastics_Women's_Uneven_Bars,0,URS,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Women's_Balance_Beam,0,URS,1,1,0,Silver,2
1952,Gymnastics,Gymnastics_Men's_Pommelled_Horse,0,URS,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Individual_All_Around,0,URS,1,1,0,Silver,2
1952,Gymnastics,Gymnastics_Men's_Team_All_Around,0,SUI,0,1,0,Silver,1
1952,Gymnastics,Gymnastics_Men's_Horizontal_Bar,0,SUI,1,1,0,Silver,2
1952,Hockey,Hockey_Men's_Hockey,0,GBR,0,0,1,Bronze,1
1952,Hockey,Hockey_Men's_Hockey,0,IND,1,0,0,Gold,1
1952,Hockey,Hockey_Men's_Hockey,0,NED,0,1,0,Silver,1
1952,Modern_Pentathlon,Modern_Pentathlon_Men's_Team,1,FIN,0,0,1,Bronze,1
1952,Modern_Pentathlon,Modern_Pentathlon_Men's_Individual,0,HUN,0,1,1,Bronze,2
1952,Modern_Pentathlon,Modern_Pentathlon_Men's_Team,0,HUN,1,0,0,Gold,1
1952,Modern_Pentathlon,Modern_Pentathlon_Men's_Individual,0,SWE,1,0,0,Gold,1
1952,Modern_Pentathlon,Modern_Pentathlon_Men's_Individual,0,HUN,0,1,1,Silver,2
1952,Modern_Pentathlon,Modern_Pentathlon_Men's_Team,0,SWE,0,1,0,Silver,1
1952,Rowing,Rowing_Men's_Coxed_Eights,0,AUS,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Coxed_Pairs,0,DEN,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Coxless_Fours,1,FIN,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Single_Sculls,0,POL,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Coxless_Pairs,0,SUI,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Coxed_Fours,0,USA,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Double_Sculls,0,URU,0,0,1,Bronze,1
1952,Rowing,Rowing_Men's_Double_Sculls,0,ARG,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Coxed_Fours,0,TCH,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Coxed_Pairs,0,FRA,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Single_Sculls,0,URS,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Coxed_Eights,0,USA,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Coxless_Pairs,0,USA,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Coxless_Fours,0,YUG,1,0,0,Gold,1
1952,Rowing,Rowing_Men's_Single_Sculls,0,AUS,0,1,0,Silver,1
1952,Rowing,Rowing_Men's_Coxless_Pairs,0,BEL,0,1,0,Silver,1
1952,Rowing,Rowing_Men's_Coxless_Fours,0,FRA,0,1,0,Silver,1
1952,Rowing,Rowing_Men's_Coxed_Pairs,0,GER,0,1,0,Silver,1
1952,Rowing,Rowing_Men's_Coxed_Eights,0,URS,0,1,0,Silver,1
